Time_s,WheatstoneBasicGod_volt_Value
14.54164452,89.09927308559
14.624266,87.75970339775
14.70688658,85.19779890776
14.78950776,83.97589623928
14.87212812,82.17925578356
14.95473936,79.39428091049
15.0373594,78.76489311457
15.1200047,76.96285098791
15.2026255,75.28571784496
15.2852595,74.92555677891
15.3678983,70.24864852428
15.45051816,66.26400351524
15.53311762,65.52068144083
15.61573622,62.61942535639
15.69834966,60.05908548832
15.78096288,55.15842139721
15.86358556,52.5252148509
15.94623414,47.72058129311
16.028846,41.31186008453
16.11147846,32.3674865067
16.19411666,21.6342061758
16.27675812,10.0145926699
16.35937536,1.832748297602
16.44198484,-4.117244388908
16.52461532,-10.45216992497
16.60722548,-11.68746314943
16.68983394,-21.39982953668
16.77244008,-24.54190887511
16.85505588,-26.40170790255
16.93769022,-28.94023619592
17.0203105,-31.5499342978
17.10294046,-30.79933859408
17.18555978,-31.59886971116
17.26820406,-31.758017838
17.3508038,-35.97808629274
17.4334289,-36.45010665059
17.51606864,-39.36429694295
17.5986863,-36.73536702991
17.6813066,-40.43939709663
17.76394558,-43.72335225344
17.84655408,-45.06378248334
17.92916872,-49.07896369696
18.0117992,-51.73068866134
18.0944434,-51.71274766326
18.17704546,-52.6330769062
18.2596651,-55.07015064359
18.34228426,-55.80855160952
18.4249161,-57.5713776052
18.50753914,-57.76056274772
18.59014988,-61.74743920565
18.67279644,-63.88980895281
18.7554058,-67.9042339325
18.8380124,-71.92127406597
18.92063644,-74.06757026911
19.00325982,-73.79775494337
19.08585972,-77.95632630587
19.16847214,-76.21914893389
19.25110462,-81.85563981533
19.33370428,-85.38603782654
19.41632242,-85.08143573999
19.49895844,-87.12066709995
19.5815623,-88.33762258291
19.66419112,-88.90822529793
19.74680714,-91.0015553236
19.82942332,-94.91223096848
19.9120278,-95.91108560562
19.99462978,-97.06117212772
20.07725196,-102.0974442363
20.15987798,-107.047714293
20.24249096,-105.3453907371
20.3250975,-109.8012924194
20.40772942,-110.0613847375
20.4903292,-109.2957109213
20.57296102,-112.7222254872
20.65558816,-115.5964955688
20.73821528,-117.2603666782
20.82082296,-118.1451156735
20.90344158,-119.07697469
20.98605036,-119.5882037282
21.06867228,-120.6046789885
21.15129842,-121.681958437
21.23390588,-123.3295053244
21.3165094,-123.7108409405
21.39914802,-125.5057603121
21.48175324,-126.0167360306
21.56435672,-125.3605037928
21.64696668,-126.2547522783
21.72959448,-128.1033754349
21.8122116,-127.4401396513
21.89481814,-127.6665478945
21.97743786,-128.3392310143
22.06004758,-129.6414136887
22.1426728,-129.8228800297
22.22530578,-129.4442564249
22.30793346,-128.2571256161
22.39055916,-128.4161061049
22.47316492,-128.373131156
22.55578546,-128.8975179195
22.6384257,-129.2930841446
22.72104282,-129.3574422598
22.80369514,-129.3086111546
22.88633874,-129.074037075
22.96895224,-128.6150366068
23.05156206,-128.2355487347
23.13419858,-128.5045444965
23.2168396,-128.7486106157
23.29944916,-129.0873736143
23.38206428,-129.2083859444
23.46470136,-129.4144392014
23.5473268,-128.9867013693
23.62996028,-128.8610994816
23.71258492,-128.2771229744
23.79521432,-128.3555477858
23.8778255,-128.7369430065
23.96044236,-129.0598660707
24.04304132,-129.6063959599
24.12566846,-129.6389997005
24.2082888,-129.1422992945
24.29091108,-128.8347244263
24.37353936,-128.4685283899
24.45614338,-128.6050528288
24.53877054,-128.9483606815
24.6214016,-129.3887794018
24.70403184,-129.2971074581
24.78662986,-129.164531827
24.86925128,-128.4200847149
24.95188524,-128.1448155642
25.03449894,-128.7071406841
25.11711678,-129.4073164463
25.1997496,-129.9857795238
25.2823657,-129.7733783722
25.36497166,-129.4601410627
25.44757872,-129.077732563
25.53021062,-128.4375190735
25.6128343,-127.9468536377
25.69544066,-127.846673131
25.77807932,-127.628237009
25.86067972,-127.9269754887
25.9432823,-127.5749504566
26.02590484,-126.8850713968
26.10853358,-126.6940534115
26.1911517,-126.2985616922
26.27378524,-125.4488527775
26.35639776,-124.1179034114
26.4390363,-122.6995885372
26.5216356,-121.6200068593
26.60425604,-120.445266366
26.68689784,-117.8637072444
26.76953658,-119.5210441947
26.85215182,-117.9232150316
26.93475632,-116.6404485703
27.01738942,-114.4978404045
27.10000866,-112.943559885
27.1826152,-112.4555692077
27.26525092,-110.4680523276
27.34786862,-110.0184321404
27.43049852,-106.00412637
27.51314528,-103.2134518027
27.59576126,-99.84602034092
27.67836738,-98.41588884592
27.76100846,-96.83684259653
27.84362204,-94.21619772911
27.9262536,-92.0972302556
28.0088767,-91.76454693079
28.09150544,-88.30170333385
28.17412544,-87.88923919201
28.25675748,-85.28572320938
28.339374,-85.10863780975
28.42199602,-82.3390558362
28.50461454,-80.78721910715
28.58722642,-80.17852157354
28.6698582,-78.14449071884
28.75246244,-78.01540941
28.83506576,-75.59928297997
28.91768934,-76.15469396114
29.00029958,-73.33572208881
29.08292544,-69.95644420385
29.16556432,-69.61008161306
29.24818928,-67.61483848095
29.3307996,-66.17283076048
29.4134241,-64.65624272823
29.49604848,-63.05393576622
29.57867876,-59.09087508917
29.66129664,-58.2579523325
29.74393944,-58.01589787006
29.82654296,-56.90886080265
29.90917926,-55.63290044665
29.991792,-53.88794839382
30.07440656,-50.60792714357
30.1570464,-50.31353980303
30.23968458,-50.56010186672
30.32231612,-48.6968755722
30.4049315,-47.31372743845
30.4875399,-46.19140177965
30.57018684,-43.47725957632
30.65280298,-42.35861450434
30.73542708,-41.79603978992
30.81804064,-41.72835499048
30.9006861,-39.71057385206
30.98331652,-38.91103714705
31.06592908,-37.28615120053
31.14855028,-37.34444081783
31.23119316,-35.31616553664
31.31379364,-35.38593277335
31.39639624,-34.03894975781
31.4790432,-32.34728053212
31.56166094,-31.60728886724
31.6442796,-32.90454298258
31.72690674,-31.37535229325
31.80953596,-31.59817308187
31.89216058,-29.59950827062
31.97477846,-26.47483721375
32.0574099,-24.99817125499
32.14003688,-25.52362717688
32.22264814,-23.60280789435
32.30528902,-24.18135665357
32.38792672,-21.8745265156
32.47055648,-19.89174075425
32.55317874,-17.92600564659
32.63578262,-17.0215498656
32.71841844,-16.27361401916
32.80104804,-15.6819280237
32.88366538,-13.76777980477
32.9662973,-12.0117450133
33.04891128,-8.486893959343
33.13152898,-6.724985316396
33.21415406,-1.297384267673
33.2967909,5.924475379288
33.37939738,8.951154537499
33.46201954,13.73391598463
33.54463398,18.90301331878
33.627282,23.01800623536
33.70989854,27.38828025758
33.79251232,29.21517007053
33.87512876,34.34190899134
33.95776858,37.19894960523
34.0403757,39.42842409015
34.1229909,42.51992329955
34.20561724,44.94240134954
34.28822424,47.65738546848
34.37084046,52.41341516376
34.45345126,55.60741201043
34.5360531,59.09376218915
34.61868638,61.57970428467
34.70129778,63.30837309361
34.78392008,65.96504896879
34.86653244,68.99082660675
34.94913684,72.06493616104
35.03175298,74.96149092913
35.11439532,78.36299389601
35.1970089,78.68392020464
35.27963324,82.73555338383
35.36224798,85.03265678883
35.44488992,87.92734146118
35.52749742,90.56206047535
35.61011724,91.14252775908
35.6927213,95.25903314352
35.7753562,97.37946093082
35.85797828,99.60293769836
35.94058948,101.733751595
36.02321704,101.2754067779
36.10583192,104.3517142534
36.18845054,105.3565517068
36.27108008,108.1349626184
36.3536965,109.7465157509
36.43632434,111.3994121552
36.51894826,112.5753074884
36.60156362,114.913880825
36.68419712,117.3335537314
36.76684558,118.822850287
36.84945624,121.1405768991
36.93207566,125.5093812943
37.01471546,127.8722733259
37.0973348,130.3028166294
37.1799474,130.7756304741
37.262584,132.1874111891
37.34519334,134.937569499
37.4277989,134.763866663
37.51041074,135.2352499962
37.59302576,136.8148028851
37.67565232,136.5375816822
37.75828472,136.7337554693
37.84092096,136.3741159439
37.92354634,137.7646178007
38.00615712,137.1456086636
38.08876824,138.0237340927
38.17141106,138.7539803982
38.25405126,140.1384621859
38.3366743,140.2517855167
38.4192972,140.7135725021
38.50192064,140.0107443333
38.58454258,140.678152442
38.66715498,140.4995173216
38.74978104,140.3315961361
38.8323888,140.484765172
38.91501174,140.6937539577
38.99761666,141.0671472549
39.0802297,141.2997692823
39.16285492,142.0479118824
39.2454822,141.8171674013
39.32810562,143.162176013
39.41071418,143.0202424526
39.49331272,142.9031342268
39.57592564,143.5443013906
39.65856586,143.2753503323
39.74120776,143.8235789537
39.8238248,144.5565223694
39.90645372,144.5557028055
39.98907062,145.2172398567
40.07167346,145.5275118351
40.15428634,145.8098888397
40.23692596,145.7930654287
40.31953898,146.1657881737
40.4021498,145.606175065
40.48480104,145.3222930431
40.56740558,145.6090658903
40.65001508,145.6675231457
40.73266316,145.2651917934
40.81527746,145.5649286509
40.89788966,145.8075493574
40.98051048,146.3181376457
41.06314496,145.7452774048
41.14577054,146.1515128613
41.22839134,146.154075861
41.31101106,145.8266824484
41.3936146,146.0576951504
41.4762397,146.6408222914
41.55885092,146.8361020088
41.64149064,146.0901945829
41.72413358,146.0890322924
41.80676704,146.1112648249
41.88937636,146.5742737055
41.9719964,146.7946469784
42.05461188,146.9385921955
42.13722652,146.839812398
42.2198585,147.108733654
42.30246564,147.2292542458
42.38508014,147.1623033285
42.46769158,147.0017880201
42.55029688,146.2548077106
42.63291756,146.0821926594
42.71552484,146.3194489479
42.79813614,147.2796499729
42.88076332,147.891074419
42.96339908,148.2739001513
43.04600178,148.4433561563
43.12862616,148.2075601816
43.21124698,148.0401307344
43.29388042,148.3007371426
43.37648494,148.0897963047
43.45911364,148.3224034309
43.5417396,148.6309915781
43.62436136,148.4504193068
43.70697242,148.4913229942
43.78957796,148.5840976238
43.87221366,148.3653187752
43.95483338,148.2886523008
44.03744796,148.6022025347
44.12006724,149.0444839001
44.20267584,149.1783559322
44.2852873,148.9614397287
44.36791248,149.1021513939
44.45053618,149.354532361
44.53316626,149.0066349506
44.61579798,149.3937820196
44.69840922,149.7864276171
44.7810526,149.4659930468
44.86367396,149.3760347366
44.94628652,149.4560092688
45.02890562,149.3261307478
45.11154592,149.3655443192
45.19416112,149.522125721
45.27677898,150.2120345831
45.35938916,150.2882838249
45.44202892,150.3073722124
45.52464018,150.1743942499
45.60725182,149.5014131069
45.6898955,149.3733972311
45.7725148,149.7518867254
45.85512168,149.5236456394
45.93773516,149.7638374567
46.02036958,149.8481333256
46.10299256,150.1654833555
46.1856111,149.779304862
46.26824576,149.4940519333
46.35086032,149.4072973728
46.43347712,149.5718806982
46.51610966,149.5508253574
46.59874008,150.2018868923
46.6813583,150.4872888327
46.7639901,150.0277817249
46.8466231,150.1709222794
46.92925792,149.5226174593
47.01188526,149.6361196041
47.09449238,149.4663059711
47.17713482,149.7755944729
47.25975534,150.0350683928
47.34237464,149.6847271919
