Time_s,ADC
18205.904,0.0698
18218.543,0.0686
18243.82,0.0721
18256.456,0.0709
18281.735,0.0715
18294.373,0.0709
18307.01,0.0733
18319.647,0.0698
18344.922,0.0721
18357.559,0.0733
18370.199,0.0715
18382.834,0.0703
18420.747,0.0709
18433.383,0.0715
18509.211,0.0692
18521.852,0.0703
18534.49,0.0698
18547.133,0.0709
18559.773,0.0721
18585.048,0.0698
18622.969,0.0698
18635.607,0.0721
18660.886,0.0703
18673.524,0.0721
18686.164,0.0727
18711.447,0.0721
18774.646,0.0739
18787.29,0.0727
18799.927,0.0703
18825.208,0.0727
18837.844,0.0739
18850.484,0.0733
18875.763,0.0751
18888.401,0.0727
18901.04,0.0721
18913.679,0.0727
18926.318,0.0745
18938.956,0.0727
18964.24,0.0739
18976.882,0.0727
18989.524,0.0709
19002.167,0.0727
19014.81,0.0721
19027.455,0.0745
19052.743,0.0721
19065.389,0.0757
19078.035,0.0745
19090.682,0.0727
19103.328,0.0721
19115.969,0.0739
19153.905,0.0721
19166.551,0.0709
19179.198,0.0727
19191.846,0.0715
19204.489,0.0727
19229.777,0.0727
19242.419,0.0715
19255.062,0.0721
19267.702,0.0733
19280.336,0.0745
19292.973,0.0733
19318.256,0.0715
19330.897,0.0727
19343.536,0.0745
19356.178,0.0751
19368.821,0.0733
19381.467,0.0739
19419.389,0.0721
19444.67,0.0733
19457.309,0.0739
19469.949,0.0715
19482.588,0.0733
19495.228,0.0745
19520.51,0.0727
19545.802,0.0721
19558.443,0.0733
19571.09,0.0727
19583.734,0.0715
19596.376,0.0727
19621.67,0.0709
19634.317,0.0721
19646.96,0.0745
19659.606,0.0703
19684.899,0.0727
19697.539,0.0733
19735.464,0.0703
19748.104,0.0709
19760.748,0.0721
19823.966,0.0727
19836.613,0.0692
19849.257,0.0703
19874.547,0.0721
19887.194,0.0727
19899.842,0.0721
19912.49,0.0715
19925.141,0.0709
19937.788,0.0698
19988.378,0.0709
20001.023,0.0703
20013.667,0.0692
20026.315,0.0698
20038.965,0.0715
20089.547,0.0715
20102.193,0.0698
20114.839,0.0709
20127.487,0.0703
20140.134,0.0698
20152.781,0.0686
20190.719,0.0692
20203.37,0.0703
20216.019,0.0692
20241.319,0.0703
20253.968,0.068
20266.618,0.0692
20291.91,0.0709
20317.206,0.0686
20329.853,0.068
20355.154,0.0686
20367.798,0.0692
20380.445,0.0703
20418.386,0.0703
20443.691,0.0686
20456.343,0.0703
20468.994,0.0686
20481.64,0.0733
20494.289,0.0703
20519.586,0.0698
20532.234,0.0715
20544.888,0.0709
20557.535,0.0721
20570.184,0.0692
20582.834,0.0698
20608.132,0.0686
20620.779,0.0739
20633.426,0.0715
20646.074,0.0703
20658.725,0.0727
20671.374,0.0739
20696.676,0.0733
20709.326,0.0721
20721.978,0.0727
20734.635,0.0721
20759.947,0.0715
20772.599,0.0733
20823.214,0.0751
20835.867,0.0745
20848.521,0.0727
20861.176,0.0733
20873.83,0.0739
20911.796,0.0733
20924.447,0.0757
20937.101,0.0745
20949.757,0.0727
20962.42,0.0739
21000.388,0.0751
21025.709,0.0739
21038.363,0.0751
21076.317,0.0739
21088.968,0.0763
21101.622,0.0757
21126.934,0.0745
21177.42,0.0774
21190.039,0.078
21202.661,0.0757
21227.909,0.0768
21240.532,0.0774
21278.404,0.0768
21316.275,0.0798
21341.528,0.081
21354.152,0.0804
21366.776,0.0816
21379.398,0.0828
21417.273,0.0833
21455.139,0.0851
21467.76,0.0828
21480.384,0.0845
21505.629,0.0857
21518.255,0.0863
21530.88,0.0887
21556.127,0.094
21581.378,0.1052
21594.001,0.1111
21606.624,0.1868
21631.874,0.1856
21644.501,0.1909
21669.747,0.1992
21682.369,0.201
21707.615,0.2022
21732.858,0.2033
21745.483,0.2093
21770.735,0.2075
21795.987,0.2057
21808.609,0.1992
21821.239,0.1998
21833.866,0.1986
21846.494,0.1992
21859.12,0.2016
21884.377,0.2022
21897.002,0.201
21909.632,0.2028
21922.259,0.201
21934.886,0.2004
21960.138,0.2033
21972.763,0.201
21998.022,0.2022
22010.648,0.2004
22023.28,0.201
22048.535,0.2022
22073.789,0.2016
22086.417,0.2045
22111.673,0.2016
22124.302,0.2033
22136.933,0.2039
22149.563,0.2022
22187.456,0.2033
22200.089,0.2016
22212.717,0.2033
22225.352,0.2045
22237.978,0.2022
22250.606,0.2033
22275.858,0.2045
22288.489,0.198
22301.12,0.1986
22313.754,0.1962
22326.382,0.1974
22339.01,0.198
22364.269,0.1992
22376.9,0.1986
22389.534,0.198
22402.169,0.2022
22414.799,0.2004
22427.435,0.1998
22465.328,0.2051
22515.85,0.2069
22528.486,0.2057
22553.749,0.2069
22566.38,0.2051
22579.016,0.2075
22604.284,0.2069
22616.918,0.2063
22629.556,0.2045
22642.19,0.2063
22654.823,0.2051
22667.455,0.2075
22692.725,0.2057
22705.357,0.2069
22730.624,0.2075
22743.258,0.2069
22755.89,0.2081
22781.161,0.2081
22793.798,0.2075
22806.431,0.2081
22819.062,0.2075
22831.699,0.2104
