Time_s,Temp_C
36558.123,-16.15
36570.734,-15.65
36595.953,-16.15
36608.566,-16.65
36621.182,-16.9
36633.805,-15.65
36646.423,-16.4
36659.046,-16.65
36671.669,-16.9
36684.287,-16.15
36696.909,-15.65
36709.533,-16.15
36760.021,-15.65
36772.642,-16.9
36785.264,-14.65
36797.887,-16.65
36810.51,-15.65
36823.132,-16.15
36835.753,-16.9
36848.378,-15.65
36860.999,-16.15
36873.625,-15.9
36898.873,-14.9
36911.495,-16.15
36924.12,-15.9
36936.745,-15.65
36949.369,-16.15
36961.991,-15.9
36974.611,-16.65
36987.236,-16.15
36999.859,-16.65
37012.483,-15.65
37037.721,-17.15
37050.338,-15.65
37062.95,-16.4
37075.568,-15.4
37088.187,-16.9
37100.81,-15.9
37113.431,-15.65
37126.052,-15.4
37138.672,-17.4
37151.293,-15.9
37163.907,-16.9
37176.52,-15.9
37189.133,-14.65
37201.746,-15.65
37214.362,-16.15
37226.979,-15.65
37264.832,-15.15
37277.448,-15.4
37290.068,-15.65
37315.319,-17.4
37327.94,-15.65
37340.564,-16.9
37353.166,-16.15
37378.416,-17.4
37391.037,-15.9
37403.657,-16.9
37416.279,-17.15
37428.894,-15.9
37441.512,-16.65
37454.127,-16.15
37479.366,-16.9
37491.982,-16.15
37529.844,-17.4
37542.466,-16.9
37555.092,-14.65
37567.717,-16.65
37580.337,-17.15
37592.958,-16.15
37605.582,-15.15
37618.205,-15.9
37630.825,-16.9
37643.453,-17.4
37656.08,-15.65
37668.702,-16.15
37681.326,-15.65
37706.571,-16.15
37719.193,-15.15
37731.821,-15.9
37744.445,-16.65
37757.07,-16.9
37769.694,-14.65
37782.315,-15.4
37794.939,-16.4
37807.563,-15.65
37820.183,-15.15
37832.81,-16.65
37858.056,-17.15
37870.679,-16.65
37883.3,-17.15
37895.937,-16.65
37908.559,-15.65
37933.809,-16.9
37946.434,-15.9
37959.055,-15.15
37971.68,-16.15
37996.923,-17.4
38009.549,-16.9
38022.168,-15.9
38034.791,-17.4
38047.411,-15.4
