Time_s,preStretchTest_2x24compress_Raw,preStretchTest_2x24compress_DeltaPct,preStretchTest_1x24compress_Raw,preStretchTest_1x24compress_DeltaPct,preStretchTest_2x24stretch_Raw,preStretchTest_2x24stretch_DeltaPct,preStretchTest_1x24stretch_Raw,preStretchTest_1x24stretch_DeltaPct,preStretchTest_rest_Raw,preStretchTest_rest_DeltaPct
2.31292168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.4869609375,-0.0354567852980025
2.312986,NaN,NaN,NaN,NaN,NaN,NaN,127.9791328125,-0.0446101689951069,NaN,NaN
2.31311796,NaN,NaN,110.3537734375,-0.048782293060724,NaN,NaN,NaN,NaN,NaN,NaN
2.31315964,NaN,NaN,NaN,NaN,145.321625,0.00650539103369354,NaN,NaN,NaN,NaN
2.31317654,93.0485234375,-0.0895822375678333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.39550618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.4910390625,-0.0319868861743579
2.395604,NaN,NaN,NaN,NaN,NaN,NaN,127.9715625,-0.0505228011598207,NaN,NaN
2.39576444,NaN,NaN,110.3152734375,-0.0836530705778743,NaN,NaN,NaN,NaN,NaN,NaN
2.39577404,NaN,NaN,NaN,NaN,145.3015625,-0.00730109175515437,NaN,NaN,NaN,NaN
2.39580492,93.028828125,-0.110729987442204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.47810778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.4630546875,-0.0557975732642294
2.47823106,NaN,NaN,NaN,NaN,NaN,NaN,128.0158046875,-0.0159683780960371,NaN,NaN
2.4783643,NaN,NaN,110.2578046875,-0.135704499030828,NaN,NaN,NaN,NaN,NaN,NaN
2.47839542,NaN,NaN,NaN,NaN,145.29284375,-0.0133011053035622,NaN,NaN,NaN,NaN
2.47842142,93.0219296875,-0.118137152511253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.56070236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.4771328125,-0.0438191092396737
2.56081514,NaN,NaN,NaN,NaN,NaN,NaN,127.9854453125,-0.0396799246307124,NaN,NaN
2.5609765,NaN,NaN,110.29634375,-0.100798341260508,NaN,NaN,NaN,NaN,NaN,NaN
2.56101632,NaN,NaN,NaN,NaN,145.258546875,-0.0369033091364925,NaN,NaN,NaN,NaN
2.56103276,92.9918203125,-0.150466953390224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.64330318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.46484375,-0.0542753378249308
2.64344594,NaN,NaN,NaN,NaN,NaN,NaN,128.0280703125,-0.00638857159592658,NaN,NaN
2.6435722,NaN,NaN,110.3367890625,-0.0641656271358567,NaN,NaN,NaN,NaN,NaN,NaN
2.64362072,NaN,NaN,NaN,NaN,145.285859375,-0.018107567769769,NaN,NaN,NaN,NaN
2.6436422,92.9942734375,-0.147832921870763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.72592734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.468546875,-0.0511245098850627
2.72604888,NaN,NaN,NaN,NaN,NaN,NaN,128.0278359375,-0.00657162522333235,NaN,NaN
2.72619254,NaN,NaN,110.304796875,-0.0931420544761113,NaN,NaN,NaN,NaN,NaN,NaN
2.72623518,NaN,NaN,NaN,NaN,145.269171875,-0.0295914646688835,NaN,NaN,NaN,NaN
2.7262493,93.0122578125,-0.128522283151677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.80852204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.442375,-0.0733930195866571
2.8086714,NaN,NaN,NaN,NaN,NaN,NaN,128.010734375,-0.0199284382352631,NaN,NaN
2.80879306,NaN,NaN,110.3378359375,-0.0632174363510964,NaN,NaN,NaN,NaN,NaN,NaN
2.8088457,NaN,NaN,NaN,NaN,145.218,-0.0648065979503829,NaN,NaN,NaN,NaN
2.80886618,92.9630234375,-0.181387463519918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.89111046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.4424609375,-0.0733198991070371
2.89126032,NaN,NaN,NaN,NaN,NaN,NaN,128.0064609375,-0.023266116041345,NaN,NaN
2.89138926,NaN,NaN,110.349421875,-0.0527236532630402,NaN,NaN,NaN,NaN,NaN,NaN
2.89144168,NaN,NaN,NaN,NaN,145.218140625,-0.0647098235383115,NaN,NaN,NaN,NaN
2.89147856,92.946734375,-0.198877768354533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.97370754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.4438046875,-0.0721765606984746
