Time_s,Peak_uA,Dip_uA
13238.745,5698.425,0.774
13256.245,5709.06,0.776
13273.745,5707.018,0.782
13291.245,5709.536,0.779
13308.745,5706.895,0.783
13326.245,5693.743,0.779
13343.745,5700.193,0.767
13361.245,5700.868,0.768
13378.745,5691.653,0.767
13396.245,5695.48,0.769
13413.745,5692.586,0.761
13431.245,5704.961,0.776
13448.745,5710.547,0.787
13466.245,5701.244,0.787
13483.745,5704.194,0.781
13501.245,5693.32,0.777
13536.245,5699.396,0.774
13553.745,5676.958,0.771
13571.245,5694.725,0.768
13588.745,5709.94,0.782
13606.245,5706.189,0.782
13623.745,5714.642,0.781
13641.245,5733.797,0.781
13658.745,5701.183,0.786
13676.245,5705.104,0.785
13693.745,5707.246,0.787
13711.245,5710.458,0.777
13728.745,5707.136,0.786
13746.245,5690.265,0.769
13763.745,5700.7,0.772
13781.245,5705.639,0.772
13798.745,5698.966,0.778
13816.245,5709.705,0.785
13833.745,5700.104,0.778
13851.245,5698.472,0.769
13868.745,5698.036,0.786
13886.245,5714.6,0.782
13903.745,5710.273,0.784
13921.245,5699.342,0.789
13938.745,5697.413,0.775
13956.245,5711.534,0.783
13973.745,5692.282,0.777
13991.245,5703.562,0.785
14008.745,5692.048,0.783
14026.245,5680.742,0.775
14043.745,5708.988,0.778
14061.245,5703.921,0.791
14078.745,5701.033,0.791
14096.245,5692.164,0.788
14113.745,5702.745,0.778
14131.245,5703.42,0.785
14148.745,5695.36,0.785
14166.245,5694.127,0.782
14183.745,5694.299,0.787
14201.245,5690.826,0.785
14218.745,5691.23,0.781
14236.245,5693.927,0.775
14253.745,5682.333,0.774
14271.245,5692.054,0.776
14288.745,5697.212,0.785
14306.245,5696.641,0.784
14323.745,5695.131,0.783
14341.245,5691.866,0.777
14358.745,5688.59,0.779
14376.245,5686.061,0.78
14393.745,5692.134,0.774
14411.245,5688.858,0.779
14428.745,5696.722,0.781
14446.245,5703.875,0.781
14463.745,5698.047,0.781
14481.245,5683.763,0.783
14498.745,5693.392,0.786
14516.245,5688.241,0.777
14533.745,5670.526,0.779
14551.245,5707.817,0.765
14568.745,5689.312,0.772
14586.245,5686.549,0.774
14603.745,5682.583,0.77
14621.245,5666.352,0.767
14638.745,5671.313,0.77
14656.245,5684.021,0.765
14673.745,5680.457,0.772
14691.245,5675.716,0.768
14708.745,5676.994,0.759
14726.245,5678.75,0.766
14743.745,5676.53,0.773
14761.245,5668.306,0.774
14778.745,5674.521,0.771
14796.245,5684.469,0.772
14813.745,5687.952,0.776
14831.245,5686.428,0.785
14848.745,5709.242,0.774
14866.245,5691.194,0.792
14883.745,5693.416,0.787
14901.245,5693.569,0.776
14918.745,5695.264,0.783
14936.245,5698.703,0.786
14953.745,5695.164,0.785
14971.245,5688.735,0.78
14988.745,5684.604,0.77
15006.245,5673.213,0.769
15023.745,5664.289,0.772
15041.245,5679.512,0.782
15058.745,5669.181,0.77
15076.245,5674.768,0.781
15093.745,5691.66,0.763
15111.245,5681.12,0.78
15128.745,5662.831,0.765
15146.245,5667.141,0.772
15163.745,5681.529,0.774
15181.245,5681.743,0.774
15198.745,5669.945,0.767
15216.245,5671.555,0.764
15233.745,5662.894,0.774
15251.245,5664.486,0.766
15268.745,5673.084,0.765
15286.245,5669.7,0.763
15303.745,5661.009,0.757
15321.245,5668.671,0.768
15338.745,5658.277,0.756
15356.245,5661.927,0.762
15373.745,5664.487,0.766
15391.245,5663.521,0.764
15408.745,5664.077,0.771
15426.245,5669.636,0.77
15443.745,5665.913,0.762
15461.245,5670.343,0.763
15478.745,5677.52,0.765
15496.245,5673.662,0.777
15513.745,5689.677,0.788
15531.245,5690.144,0.784
15548.745,5688.285,0.775
15566.245,5685.489,0.798
15583.745,5676.393,0.787
15601.245,5677.232,0.782
15618.745,5679.332,0.775
15636.245,5678.391,0.78
15653.745,5686.547,0.78
15671.245,5674.173,0.788
15688.745,5681.982,0.794
15706.245,5682.569,0.784
15723.745,5693.233,0.787
15741.245,5679.022,0.773
15758.745,5685.43,0.782
15776.245,5686.698,0.777
15793.745,5674.135,0.788
15811.245,5689.48,0.789
15828.745,5686.697,0.78
15846.245,5684.946,0.802
15863.745,5687.61,0.784
15881.245,5688.409,0.788
15898.745,5679.975,0.786
15916.245,5681.69,0.795
15933.745,5692.917,0.795
15951.245,5679.271,0.789
15968.745,5679.527,0.778
15986.245,5951.17,0.782
16003.745,5683.578,0.781
16021.245,5685.129,0.787
16038.745,5681.585,0.773
16056.245,5688.841,0.795
16073.745,5684.753,0.789
16091.245,5683.471,0.791
16108.745,5681.996,0.801
16126.245,5681.045,0.786
16143.745,5687.799,0.786
16161.245,5691.484,0.787
16178.745,5679.036,0.793
16196.245,5678.798,0.791
16213.745,5686.336,0.799
16231.245,5690.73,0.791
16248.745,5677.147,0.786
16266.245,5684.638,0.787
16283.745,5686.564,0.784
16301.245,5684.887,0.787
16318.745,5691.225,0.781
16336.245,5675.56,0.786
