Time_s,Sensor_negDegPLA,Sensor_negDegTPU,TempActual_C,TempTarget_C,HumActual_RH,HumTarget_RH
3777.1302444,NaN,115.4189375,NaN,NaN,NaN,NaN
3795.20941688,NaN,115.434,NaN,NaN,NaN,NaN
3813.28858476,NaN,115.435515625,NaN,NaN,NaN,NaN
3829.89505138,77.0796171875,NaN,NaN,NaN,NaN,NaN
3847.97449376,77.079296875,NaN,NaN,NaN,NaN,NaN
3866,NaN,NaN,24.917,25,30.211,30
3883.02269348,NaN,115.385984375,NaN,NaN,NaN,NaN
3901.10190262,NaN,115.3816015625,NaN,NaN,NaN,NaN
3919.18108472,NaN,115.368390625,NaN,NaN,NaN,NaN
3936,NaN,NaN,24.92,25,29.951,30
3953,NaN,NaN,24.925,25,30.001,30
3971.94710942,77.076625,NaN,NaN,NaN,NaN,NaN
3988.91517118,NaN,115.3465703125,NaN,NaN,NaN,NaN
4005.52293738,77.0742578125,NaN,NaN,NaN,NaN,NaN
4023.60223942,77.074171875,NaN,NaN,NaN,NaN,NaN
4041.68153,77.075578125,NaN,NaN,NaN,NaN,NaN
4058.64922096,NaN,115.3319375,NaN,NaN,NaN,NaN
4075.25748028,77.0758203125,NaN,NaN,NaN,NaN,NaN
4094.80766118,NaN,115.313515625,NaN,NaN,NaN,NaN
4112,NaN,NaN,24.948,25,29.869,30
4128.3833275,NaN,115.2991484375,NaN,NaN,NaN,NaN
4146.46254014,NaN,115.29053125,NaN,NaN,NaN,NaN
4164.54176272,NaN,115.2966015625,NaN,NaN,NaN,NaN
4181.15088986,77.068484375,NaN,NaN,NaN,NaN,NaN
4198.11741434,NaN,115.2765703125,NaN,NaN,NaN,NaN
4217.30964064,77.06321875,NaN,NaN,NaN,NaN,NaN
4234.27582522,NaN,115.255109375,NaN,NaN,NaN,NaN
4250.88574382,77.0670390625,NaN,NaN,NaN,NaN,NaN
4268.9651421,77.06353125,NaN,NaN,NaN,NaN,NaN
4287.0445177,77.0608828125,NaN,NaN,NaN,NaN,NaN
4305.12392172,77.07184375,NaN,NaN,NaN,NaN,NaN
4322.08906048,NaN,115.2479296875,NaN,NaN,NaN,NaN
4341,NaN,NaN,24.973,25,30.275,30
4357,NaN,NaN,24.981,25,30.178,30
4374.85881228,77.07171875,NaN,NaN,NaN,NaN,NaN
4392,NaN,NaN,24.99,25,30.195,30
4411.01760804,77.0689296875,NaN,NaN,NaN,NaN,NaN
4427.98139886,NaN,115.1908828125,NaN,NaN,NaN,NaN
4444.59360426,77.075765625,NaN,NaN,NaN,NaN,NaN
4464,NaN,NaN,24.995,25,30.138,30
4479.63618204,NaN,115.2048984375,NaN,NaN,NaN,NaN
4497.71533996,NaN,115.161859375,NaN,NaN,NaN,NaN
4515,NaN,NaN,25.013,25,30.085,30
4533.87363436,NaN,115.1598984375,NaN,NaN,NaN,NaN
4550.48712026,77.0818515625,NaN,NaN,NaN,NaN,NaN
4567.44920356,NaN,115.17896875,NaN,NaN,NaN,NaN
4586.64589676,77.0828984375,NaN,NaN,NaN,NaN,NaN
4603,NaN,NaN,25.032,25,30.08,30
4620.2218869,77.0881015625,NaN,NaN,NaN,NaN,NaN
4638.3013187,77.089296875,NaN,NaN,NaN,NaN,NaN
4656.38071074,77.09028125,NaN,NaN,NaN,NaN,NaN
4673.34153426,NaN,115.1793671875,NaN,NaN,NaN,NaN
4690,NaN,NaN,25.019,25,30.026,30
4709.49986942,NaN,115.1498359375,NaN,NaN,NaN,NaN
4726,NaN,NaN,25.017,25,30.019,30
4743.07548274,NaN,115.117921875,NaN,NaN,NaN,NaN
4761.15466894,NaN,115.1229921875,NaN,NaN,NaN,NaN
4779.23380636,NaN,115.1045859375,NaN,NaN,NaN,NaN
4797,NaN,NaN,25.015,25,30.117,30
4813.92967772,77.0882421875,NaN,NaN,NaN,NaN,NaN
4833,NaN,NaN,25.017,25,30.124,30
4849,NaN,NaN,25.013,25,30.045,30
4867.04699618,NaN,115.0828359375,NaN,NaN,NaN,NaN
4885,NaN,NaN,25.006,25,30.07,30
4901.74383236,77.093140625,NaN,NaN,NaN,NaN,NaN
4919.82322514,77.085875,NaN,NaN,NaN,NaN,NaN
4936.78092598,NaN,115.0313515625,NaN,NaN,NaN,NaN
4955.9819993,77.0904375,NaN,NaN,NaN,NaN,NaN
4971.47864644,77.0833671875,NaN,NaN,NaN,NaN,NaN
4989.55801912,77.083859375,NaN,NaN,NaN,NaN,NaN
5007,NaN,NaN,25,25,30.114,30
5024.59399262,NaN,115.01165625,NaN,NaN,NaN,NaN
5042.67314044,NaN,115.016328125,NaN,NaN,NaN,NaN
5059.29288626,77.087265625,NaN,NaN,NaN,NaN,NaN
5078,NaN,NaN,24.9925,25,29.9935,30
5095.45168052,77.0898984375,NaN,NaN,NaN,NaN,NaN
5113.53106794,77.0918359375,NaN,NaN,NaN,NaN,NaN
5130.48633076,NaN,114.9854921875,NaN,NaN,NaN,NaN
5148.56552168,NaN,114.9954140625,NaN,NaN,NaN,NaN
5165.1865263,77.0797265625,NaN,NaN,NaN,NaN,NaN
5183.26592808,77.079046875,NaN,NaN,NaN,NaN,NaN
5200.2202502,NaN,114.9585546875,NaN,NaN,NaN,NaN
5218.2994098,NaN,114.9302265625,NaN,NaN,NaN,NaN
5236,NaN,NaN,24.976,25,29.958,30
5253.00072878,77.076125,NaN,NaN,NaN,NaN,NaN
5271.08010854,77.0834296875,NaN,NaN,NaN,NaN,NaN
5288.03325792,NaN,114.9199375,NaN,NaN,NaN,NaN
5306.11239402,NaN,114.915296875,NaN,NaN,NaN,NaN
5324.19151526,NaN,114.916140625,NaN,NaN,NaN,NaN
5342.27068754,NaN,114.927171875,NaN,NaN,NaN,NaN
5359,NaN,NaN,24.977,25,30.06,30
