T_amb_C,T_MCU_C
49.981,52.600
50.008,51.850
50.014,51.350
50.009,50.850
50.003,52.350
50.013,52.850
50.026,51.850
50.039,51.600
50.052,52.350
50.065,51.350
50.099,50.850
50.118,52.600
50.157,51.350
50.177,51.100
50.187,51.350
50.197,52.850
50.202,51.350
50.207,51.850
50.217,52.350
50.217,52.850
50.215,52.350
50.214,50.850
50.211,53.350
50.207,52.600
50.204,51.100
50.200,52.100
50.195,51.350
50.191,51.600
50.187,52.350
50.183,51.600
50.178,51.100
50.174,52.850
50.170,51.850
50.165,51.600
50.157,52.600
50.148,53.350
50.144,52.350
50.140,52.100
50.136,52.350
50.131,52.850
50.127,52.600
50.123,52.350
50.118,51.600
50.114,53.100
50.111,53.850
50.109,52.100
50.105,51.100
50.101,53.100
50.096,52.100
50.092,52.350
50.088,52.100
50.083,50.850
50.079,51.600
50.076,52.350
50.074,52.850
50.072,52.100
50.066,52.350
50.055,53.350
50.052,52.350
50.053,52.100
50.054,51.850
50.056,52.850
50.053,52.350
50.049,52.100
50.042,52.350
50.031,53.100
50.025,51.600
50.025,52.600
50.024,53.100
50.024,52.850
50.024,52.350
50.023,52.100
50.021,53.100
50.017,52.350
50.014,52.100
50.022,52.350
50.032,52.100
50.034,53.850
50.037,52.600
50.039,53.600
50.042,52.100
50.046,52.350
50.047,53.100
50.044,52.850
50.041,52.100
50.037,52.600
50.034,53.850
50.030,53.100
50.028,52.600
50.027,52.350
50.026,52.600
50.025,52.100
50.024,53.350
50.022,53.600
50.021,52.850
50.020,51.100
50.019,53.850
50.018,53.350
50.017,52.100
50.016,52.350
50.016,52.100
50.016,53.600
50.016,53.350
50.017,52.600
50.017,53.350
50.018,53.600
50.024,52.600
50.026,53.100
50.030,51.100
50.031,52.350
50.033,52.600
50.035,52.850
50.038,53.600
50.040,53.100
50.041,53.350
50.043,53.600
50.045,52.850
50.046,53.600
50.048,52.600
50.051,53.850
50.059,52.350
50.063,53.100
50.066,52.100
50.069,52.350
50.069,51.850
50.069,51.600
50.069,53.350
50.069,52.100
50.069,52.850
50.069,51.350
50.069,52.850
50.069,52.100
50.069,52.600
50.069,53.350
50.069,53.600
50.069,54.100
50.068,52.100
50.067,52.850
50.066,53.100
50.065,52.350
50.064,53.850
50.063,53.100
50.061,52.600
50.060,53.600
50.059,52.600
50.057,53.850
50.056,52.850
50.053,52.100
50.052,53.600
50.051,53.100
50.050,52.100
50.051,53.350
50.052,52.600
50.053,53.600
50.054,52.350
50.053,53.350
50.053,52.850
50.052,53.350
50.051,52.350
50.051,52.600
50.050,53.850
50.050,52.850
50.051,53.350
50.052,52.600
50.052,53.350
50.054,52.100
50.053,53.850
50.053,54.100
50.052,53.850
50.051,52.850
50.050,52.600
50.047,51.850
50.038,52.350
50.038,52.850
50.039,52.600
50.040,53.850
50.038,52.350
50.034,52.100
50.030,53.350
50.025,53.600
50.021,52.850
50.017,52.600
50.018,53.600
50.018,52.100
50.013,52.850
50.009,52.600
50.008,53.350
50.012,54.600
50.016,52.850
50.016,53.600
50.013,53.350
50.010,54.600
50.007,51.850
50.001,53.600
49.998,52.350
49.995,52.850
49.991,53.850
49.988,53.350
49.985,53.600
49.982,52.100
49.981,53.100
49.992,52.350
49.993,50.850
49.992,52.850
49.992,52.350
49.992,53.600
49.992,53.350
49.992,52.600
49.991,53.350
49.991,53.850
49.991,52.350
49.991,53.100
49.991,52.100
49.994,53.350
49.998,53.850
50.002,53.350
50.006,53.100
50.010,52.600
50.013,52.100
50.013,52.350
50.013,53.350
50.013,53.600
50.012,53.350
50.012,52.850
50.012,53.350
50.012,53.100
50.012,53.350
50.012,54.100
50.012,53.600
50.012,52.350
50.011,52.600
50.011,52.850
50.011,53.600
50.015,52.100
50.028,52.600
50.030,52.850
50.035,52.100
50.038,53.600
50.040,52.100
50.043,53.850
50.046,52.350
50.049,52.600
50.054,52.850
50.060,53.850
50.065,52.100
50.070,54.100
50.075,53.100
50.074,52.350
50.074,52.600
50.073,53.600
50.072,52.350
50.071,53.350
50.070,51.350
50.069,53.350
50.068,52.850
50.067,53.350
50.066,51.850
50.065,52.100
50.061,53.600
50.058,52.600
50.056,53.600
50.054,53.350
50.050,52.100
50.045,53.350
50.041,53.100
50.040,53.600
50.038,53.850
50.037,53.600
50.035,53.350
50.036,53.100
50.039,52.350
50.039,53.350
50.036,52.350
50.033,52.600
50.029,52.100
50.023,53.350
50.025,53.850
50.025,52.100
50.026,54.100
50.027,51.850
50.028,52.350
50.028,53.600
50.027,52.100
50.025,52.850
50.024,52.600
50.023,51.350
50.022,53.350
50.022,52.100
50.023,53.100
50.023,52.600
50.024,53.100
50.023,52.350
50.020,53.350
50.018,53.600
50.016,53.350
50.014,52.850
50.010,53.350
50.008,52.850
