Time_s,Voltage_mV,CmdDisp_um,CmdStrain_pct
38.91987642,-66.30551815033,-13.8283663671875,-0.0460945545572917
39.00251428,-65.46235084534,-13.666964296875,-0.04555654765625
39.08516732,-65.40706008673,-13.505532578125,-0.0450184419270834
39.1677842,-65.02038240433,-13.344171484375,-0.0444805716145833
39.25041834,-64.9334192276,-13.1827766796875,-0.0439425889322917
39.3330466,-61.224155128,-13.021393359375,-0.04340464453125
39.41567436,-58.22436511517,-12.860011015625,-0.0428667033854167
39.49830214,-56.9934360683,-12.6986286328125,-0.042328762109375
39.5809309,-51.61461606622,-12.5372443359375,-0.041790814453125
39.6635438,-50.24566873908,-12.375891015625,-0.0412529700520833
39.74620422,-47.40708321333,-12.2144448828125,-0.0407148162760416
39.82885598,-44.49387639761,-12.0530156640625,-0.0401767188802083
39.91147374,-43.48108172417,-11.8916528515625,-0.0396388428385417
39.99412844,-42.12775453925,-11.730217890625,-0.0391007263020834
40.07675352,-38.35525736213,-11.56884078125,-0.0385628026041667
40.15938644,-36.10371425748,-11.407448359375,-0.0380248278645833
40.24201166,-35.99883243442,-11.2460709765625,-0.0374869032552083
40.32463584,-35.484675318,-11.084695625,-0.0369489854166667
40.4072473,-33.82585197687,-10.9233451171875,-0.036411150390625
40.48987408,-33.61948952079,-10.7619646875,-0.035873215625
40.57251708,-31.86473622918,-10.600552578125,-0.0353351752604167
40.65514318,-28.65144237876,-10.4391734765625,-0.034797244921875
40.73778108,-25.95057524741,-10.277771328125,-0.0342592377604167
40.82041426,-25.22256784141,-10.1163783984375,-0.033721261328125
40.9030361,-21.28009498119,-9.9550076171875,-0.0331833587239583
40.98566788,-20.74139006436,-9.793617421875,-0.03264539140625
41.06830938,-20.04390582442,-9.6322082421875,-0.0321073608072917
41.15093132,-18.16064119339,-9.470837265625,-0.0315694575520833
41.23355856,-14.32815287262,-9.3094559375,-0.0310315197916667
41.31620634,-11.80439908057,-9.1480344921875,-0.0304934483072917
41.3988448,-6.435265764594,-8.98663125,-0.0299554375
41.48149412,-5.284629762173,-8.825206796875,-0.0294173559895833
41.56413194,-4.020451568067,-8.66380480468749,-0.0288793493489583
41.64675946,-1.724132569507,-8.5024229296875,-0.028341409765625
41.72939044,1.704669790342,-8.34103429687499,-0.02780344765625
41.81202976,4.898844752461,-8.179629375,-0.02726543125
41.89467614,8.146219886839,-8.0182106640625,-0.0267273688802083
41.97731346,11.70934084803,-7.8568096484375,-0.0261893654947917
42.05992576,16.10477268696,-7.6954575,-0.025651525
42.14256718,18.63464340568,-7.5340484765625,-0.025113494921875
42.22520098,23.31657707691,-7.37265433593751,-0.024575514453125
42.30782644,25.94801411033,-7.211276484375,-0.02403758828125
42.39046118,28.12724001706,-7.0498805078125,-0.0234996016927083
42.473091,30.12257814407,-6.88849414062501,-0.0229616471354167
42.55572032,34.33607518673,-6.72710875,-0.0224236958333333
42.63836476,37.31699287891,-6.565693828125,-0.02188564609375
42.720983,40.78004509211,-6.404330078125,-0.0213477669270833
42.8036176,44.84545812011,-6.242934375,-0.02080978125
42.88623886,48.82783442736,-6.0815647265625,-0.020271882421875
42.96887522,52.43364349008,-5.9201655859375,-0.0197338852864583
43.05149766,55.63382804394,-5.75879363281249,-0.0191959787760416
43.13412334,59.07808989286,-5.59741535156249,-0.018658051171875
