Time_s,ja3_Raw,ja3_DeltaPct,ja2_Raw,ja2_DeltaPct,PLA_efter70_1_Raw,PLA_efter70_1_DeltaPct
6.03088294,49.849484375,34.1979200032641,NaN,NaN,NaN,NaN
6.03137106,NaN,NaN,50.32156640625,35.0257529893173,NaN,NaN
6.03206404,NaN,NaN,NaN,NaN,49.485828125,33.3457117634137
6.11353138,49.89233203125,34.3132685653979,NaN,NaN,NaN,NaN
6.11401698,NaN,NaN,50.29971484375,34.9671196062319,NaN,NaN
6.11470452,NaN,NaN,NaN,NaN,49.452125,33.2548945059875
6.19613448,49.84558984375,34.187435682319,NaN,NaN,NaN,NaN
6.19661368,NaN,NaN,50.25575390625,34.8491610625702,NaN,NaN
6.19734136,NaN,NaN,NaN,NaN,49.4703125,33.3039029842647
6.27877152,49.78460546875,34.0232619425039,NaN,NaN,NaN,NaN
6.27922358,NaN,NaN,50.12416015625,34.4960610608932,NaN,NaN
6.279954,NaN,NaN,NaN,NaN,49.391890625,33.0925854993218
6.36140132,49.79240234375,34.0442516161313,NaN,NaN,NaN,NaN
6.36184794,NaN,NaN,50.17587890625,34.6348358181422,NaN,NaN
6.36258432,NaN,NaN,NaN,NaN,49.39688671875,33.1060480946217
6.444018,49.29198828125,32.6971057595622,NaN,NaN,NaN,NaN
6.44444904,NaN,NaN,49.76346484375,33.52822242533,NaN,NaN
6.44521978,NaN,NaN,NaN,NaN,48.14181640625,29.7241052137084
6.52662592,45.86934375,23.4831332829553,NaN,NaN,NaN,NaN
6.5270532,NaN,NaN,46.44096484375,24.6130972345671,NaN,NaN
6.52784678,NaN,NaN,NaN,NaN,45.76188671875,23.3110889997544
6.60923672,42.1653046875,13.5116291835543,NaN,NaN,NaN,NaN
6.60969538,NaN,NaN,42.60113671875,14.3098471381375,NaN,NaN
6.61049348,NaN,NaN,NaN,NaN,42.02156640625,13.2323312383682
6.69188008,39.13259375,5.34738225329404,NaN,NaN,NaN,NaN
6.69233502,NaN,NaN,39.63881640625,6.3611770279562,NaN,NaN
6.69312706,NaN,NaN,NaN,NaN,39.05296484375,5.23306552347232
6.77448184,38.89247265625,4.7009612976077,NaN,NaN,NaN,NaN
6.77494706,NaN,NaN,39.13525,5.0099783662312,NaN,NaN
6.77574568,NaN,NaN,NaN,NaN,38.6955625,4.27000050629463
6.85710712,38.75648046875,4.33486184988008,NaN,NaN,NaN,NaN
6.85756556,NaN,NaN,38.97475390625,4.57932591524259,NaN,NaN
6.85837082,NaN,NaN,NaN,NaN,38.59091015625,3.98800176455782
6.93974724,38.583796875,3.86998684885478,NaN,NaN,NaN,NaN
6.94018014,NaN,NaN,38.7966796875,4.10150681715274,NaN,NaN
6.94098386,NaN,NaN,NaN,NaN,38.48404296875,3.70003485117517
7.02236276,38.6637734375,4.0852887415639,NaN,NaN,NaN,NaN
7.02279878,NaN,NaN,38.9477734375,4.50693035268074,NaN,NaN
7.02360432,NaN,NaN,NaN,NaN,38.33510546875,3.29870425414853
7.10498982,38.593546875,3.89623445675759,NaN,NaN,NaN,NaN
7.10541356,NaN,NaN,38.81490625,4.15041338945816,NaN,NaN
7.10624516,NaN,NaN,NaN,NaN,38.34860546875,3.33508168132342
7.18759794,38.5263984375,3.71546667636931,NaN,NaN,NaN,NaN
7.1880225,NaN,NaN,38.89166796875,4.35638489661071,NaN,NaN
7.18886106,NaN,NaN,NaN,NaN,38.237265625,3.03506264001387
7.27022834,38.38542578125,3.33595949623942,NaN,NaN,NaN,NaN
7.27065562,NaN,NaN,38.798859375,4.10735548139329,NaN,NaN
7.27148446,NaN,NaN,NaN,NaN,38.247046875,3.0614194333142
7.35284886,38.3948984375,3.3614604774751,NaN,NaN,NaN,NaN
7.35326668,NaN,NaN,38.6628046875,3.74228563282967,NaN,NaN
7.35411436,NaN,NaN,NaN,NaN,38.196125,2.92420411483857
7.43546922,38.40040234375,3.3762773362632,NaN,NaN,NaN,NaN
7.43588626,NaN,NaN,38.59871484375,3.57031603749855,NaN,NaN
7.4367431,NaN,NaN,NaN,NaN,38.1751953125,2.86780647166639
7.51807662,38.33480078125,3.19967383982104,NaN,NaN,NaN,NaN
7.51851438,NaN,NaN,38.61571484375,3.615931425984,NaN,NaN
7.51937532,NaN,NaN,NaN,NaN,38.13385546875,2.75641112681922
7.6007116,38.43890234375,3.4799217366999,NaN,NaN,NaN,NaN
7.60113328,NaN,NaN,38.63755859375,3.67454384611515,NaN,NaN
7.60201666,NaN,NaN,NaN,NaN,38.11206640625,2.69769779094494
7.68334726,38.45423828125,3.52120703663034,NaN,NaN,NaN,NaN
7.68374768,NaN,NaN,38.591609375,3.5512502305925,NaN,NaN
7.6846478,NaN,NaN,NaN,NaN,38.08967578125,2.63736347017919
7.76596418,38.37687109375,3.31292974411316,NaN,NaN,NaN,NaN
7.7663471,NaN,NaN,38.6281875,3.64939878247163,NaN,NaN
7.76729056,NaN,NaN,NaN,NaN,37.9266953125,2.19819234922498
7.8486032,38.35911328125,3.26512460568123,NaN,NaN,NaN,NaN
7.84897622,NaN,NaN,38.55840625,3.46215767495682,NaN,NaN
7.84990922,NaN,NaN,NaN,NaN,37.9008203125,2.12846894713979
7.93121088,38.410109375,3.40240926961193,NaN,NaN,NaN,NaN
7.93159042,NaN,NaN,38.5947890625,3.55978215297926,NaN,NaN
7.93255792,NaN,NaN,NaN,NaN,37.99291015625,2.37661647192216
8.01382656,38.2742109375,3.03656220272954,NaN,NaN,NaN,NaN
8.01419264,NaN,NaN,38.509671875,3.33139076623792,NaN,NaN
8.01518698,NaN,NaN,NaN,NaN,37.99021875,2.3693641434142
8.09643516,38.31271875,3.14022763490335,NaN,NaN,NaN,NaN
8.09683844,NaN,NaN,38.511375,3.33596069026817,NaN,NaN
8.09782428,NaN,NaN,NaN,NaN,37.9305078125,2.20846560412158
8.17906918,38.3041328125,3.11711375582868,NaN,NaN,NaN,NaN
8.17948398,NaN,NaN,38.5673515625,3.48616025759279,NaN,NaN
8.18044202,NaN,NaN,NaN,NaN,37.93360546875,2.21681262372509
8.26168544,38.2805390625,3.05359790978183,NaN,NaN,NaN,NaN
8.26210262,NaN,NaN,38.586984375,3.53884016166631,NaN,NaN
8.26306512,NaN,NaN,NaN,NaN,37.96105078125,2.29076742792959
8.34429906,38.21711328125,2.88285175212247,NaN,NaN,NaN,NaN
8.34471294,NaN,NaN,38.65734375,3.72763252779689,NaN,NaN
8.3456792,NaN,NaN,NaN,NaN,37.92203125,2.18562445337811
