Time_s,DeltaT_C
19052.765,3.0902
19065.413,2.9335
19078.059,4.7767
19090.706,3.6090
19103.352,2.9393
19115.991,4.2696
19128.637,3.8499
19141.286,2.9303
19153.927,3.7599
19166.575,5.3372
19179.222,4.9146
19191.870,5.2422
19204.512,5.5702
19217.156,3.8983
19229.800,4.2199
19242.443,3.5387
19255.085,4.6076
19267.725,3.6774
19280.358,4.9975
19292.996,4.5675
19305.640,4.3876
19318.278,4.7077
19343.559,4.5951
19356.202,4.9146
19368.844,4.7311
19381.491,5.0439
19394.129,3.8567
19406.769,4.4196
19419.412,4.9824
19444.692,3.8581
19457.331,5.6709
19469.972,4.4838
19482.612,4.7966
19495.252,4.1094
19507.892,4.4223
19520.534,4.7351
19533.179,4.0480
19545.825,4.3609
19558.467,3.6737
19583.756,5.0543
19596.398,5.6221
19609.049,3.6898
19621.694,5.5076
19634.340,4.8253
19646.982,5.1448
19659.630,5.4664
19672.276,5.0379
19684.922,5.3546
19697.562,4.6692
19722.847,3.8037
19735.486,5.1245
19748.128,6.1953
19760.770,5.7664
19773.417,5.5875
19786.057,4.4086
19798.701,5.2297
19811.350,5.0508
19823.989,4.8719
19836.636,4.6930
19849.280,5.7641
19861.921,5.0860
19874.571,4.9082
19887.217,5.4805
19899.865,4.0528
19912.514,4.8750
19925.164,5.9473
19937.810,4.5196
19950.461,5.3418
19963.108,5.1641
19975.756,4.9864
19988.402,3.8086
20001.047,5.1308
20013.690,4.7041
20026.338,5.2800
20038.988,4.6059
20051.633,4.1783
20064.279,6.7475
20076.924,4.5667
20089.571,4.8858
20102.216,4.2049
20114.862,5.5241
20127.511,4.8432
20140.157,5.4123
20165.450,6.3005
20178.096,5.8735
20190.742,4.9471
20228.691,4.9179
20241.343,5.4913
20253.992,5.3142
20279.288,6.7100
20291.934,4.2829
20304.580,5.3558
20317.229,5.6787
20355.177,7.3989
20367.821,5.9735
20380.469,5.7980
20393.114,5.6226
20405.765,5.1972
20418.411,5.7718
20431.063,6.3463
20443.715,5.1596
20456.365,6.2228
20481.663,5.3550
20494.313,4.4228
20506.965,5.4919
20519.609,5.8129
20532.258,4.3839
20544.911,5.7050
20557.558,4.5260
20570.206,5.8470
20608.154,5.8101
20620.802,6.1311
20633.448,4.9521
20646.098,5.5232
20658.749,6.3442
20671.396,4.9155
20684.048,5.4867
20696.699,6.5580
