Time_s,Voltage_mV
13851.42327778,20.89847810566
13903.07864168,20.54613828659
13965.06514296,21.03341929615
14016.72053528,20.97446843982
14130.36238088,21.38265967369
14156.19006782,21.41133509576
14244.0042763,24.28359910846
14282.7458051,23.73263426125
14396.3875908,21.98163419962
14445.46026794,22.80387468636
14497.11562844,22.10334315896
14584.92981496,21.59117907286
14636.5852653,23.74875545502
14711.48564398,23.52640219033
14724.3994621,24.70606938004
14850.9551973,23.95761571825
14902.6106793,24.7217155993
14977.51113014,25.76687932014
15003.33889618,27.43797749281
15104.06708934,27.54252031446
15155.72261454,29.44504469633
15230.62292988,32.88914635777
15269.36447726,35.50682589412
15357.17864448,35.38085147738
15408.83408642,35.34090518951
15496.64821716,36.33620589972
15535.38977664,37.72116824985
15623.20408454,38.09758275747
15661.94568406,39.35885801911
15723.93217152,40.93609377742
15811.74635782,41.05701670051
15863.40178188,42.43759810925
15915.05718512,42.18002036214
15977.04354776,43.8038893044
16077.77162438,44.15692016482
16142.34089942,44.17142644525
16165.5858234,45.10777071118
16255.98275352,45.8023250103
16305.05540282,47.51716926694
16392.8695418,47.71636798978
16431.61105338,49.5789386332
16483.26652704,49.68164488673
16583.99466342,50.54774135351
16645.9812171,51.87548324466
16710.55050822,52.84671485424
16785.45086932,53.17004770041
16847.4374115,56.14455416799
16912.00667406,62.52034008503
16973.99323114,64.49351459742
17025.64868126,66.03703647852
17087.63530172,65.66412001848
17165.11854344,67.29939579964
17188.36346794,67.27486103773
17278.76062042,68.27346235514
17366.5749763,68.36044043303
17428.56163348,68.39520484209
17480.21710294,68.79776716232
17555.11753036,68.80842149258
17580.94524476,69.25728172064
17681.67340826,69.38037276268
17694.58727282,69.58623230457
17821.1432167,68.85121017694
17883.12989474,69.79601085186
17896.04377548,70.02608478069
17960.61310906,70.00833749771
18035.51346666,70.57406008244
18136.24156178,71.77773863077
18162.06931318,72.21345603466
18236.96975598,72.20954447985
18275.71138626,72.290353477
18340.28072856,71.80413603783
18415.18120208,71.56748324633
18477.16777012,71.41989469528
18567.5648085,71.71140611172
18642.46527048,72.73273169994
18717.365707,73.43719154596
18730.27954408,74.04238730669
18843.92150124,73.21060448885
18895.57703382,73.89026880264
18934.31867128,74.08921420574
19047.96076052,73.5504552722
19060.87462518,73.51050525904
19174.51678226,73.30119609833
19223.58944482,73.66527616978
19249.41719056,73.30176234245
19311.40374426,73.24016094208
19375.97308894,73.28022271395
19437.95961222,73.34366440773
19502.52898816,72.89880514145
19577.42933358,72.59818911552
19641.99867674,72.20051437616
19703.98517108,71.89054787159
19768.55454104,71.55084609985
19830.54112808,70.75660675764
19895.1103854,70.23449987173
19982.92463164,69.94561105967
20034.58007262,69.83708590269
20109.4804433,69.65867429972
20148.22206804,69.64408606291
20261.86427252,69.47249174118
20336.76473668,70.18776237965
20401.33411936,71.28818333149
20411.66522508,71.67449593544
20527.89012784,72.63261824846
20589.87668044,73.40106368065
20615.70441464,73.45336675644
20716.43260456,74.04830306768
20791.33299612,74.71463829279
20855.90238654,74.97902959585
20917.88901388,75.6409689784
20982.45839564,76.57617330551
21044.44494566,76.66757702827
21109.01425112,78.13869416714
21171.00081882,79.08921688795
21235.5702197,81.29487931728
21297.55686844,82.49295502901
21372.4574767,85.87091416121
21437.02686546,95.16329318285
21499.01357826,188.1222426891
21563.5830147,201.0230571032
21612.65572454,208.4487378597
21638.48346772,207.9648375511
21739.2117277,202.3950070143
