Time_s,Sawtooth_baseline_Value
50.32302912,121.1740449071
50.40564846,119.2486062646
50.48828298,117.7165880799
50.5708993,116.8682724237
50.65353476,115.220464766
50.73616568,113.0128130317
50.8188117,111.3883927464
50.90143502,109.0645864606
50.9840664,105.0793379545
51.0666946,98.10867160559
51.14932594,94.79347616434
51.23195088,91.30012989044
51.31458378,86.61740273237
51.39722678,80.97534626722
51.47985958,76.42631232738
51.56248806,71.01052254438
51.64511316,64.74065035582
51.72774034,59.84662100673
51.81038078,57.48593062162
51.89301196,51.58581212163
51.9756512,46.25617340207
52.05827878,42.0000590384
52.14091354,37.63525560498
52.22352592,35.12369841337
52.30616576,32.39542245865
52.38880652,32.8327678144
52.47144528,29.55417893827
52.5540575,25.95767192543
52.6366768,22.05762453377
52.71931274,18.62013526261
52.80194026,14.89188242704
52.88456738,14.01811931282
52.96721134,11.79627794772
53.04982912,9.621077217162
53.1324836,5.798635073006
53.21510134,2.067741239443
53.29771668,-1.140753971413
53.38034244,-5.333572160453
53.46297364,-5.813885945827
53.54560474,-6.052487064153
53.62821848,-7.592924870551
53.71085476,-7.554809097201
53.79348524,-8.186553604901
53.876102,-9.157662279904
53.95873082,-9.388777427375
54.0413744,-9.89799387753
54.12400576,-9.384628385305
54.20663944,-8.795260451734
54.28926178,-8.268885314465
54.37192174,-7.291446905583
54.45455304,-7.150150369853
54.53718244,-7.233064156026
54.61982796,-6.786258425564
54.7024452,-6.040049251169
54.78508414,-5.004225764424
54.86770544,-3.82802519016
54.95034692,-3.212288720533
55.03298086,-2.648600144312
55.1156109,-2.546802395955
55.19823972,-2.71850079298
55.28087862,-1.928187091835
55.36349524,-0.4339285078458
55.44611396,1.803812920116
55.52875392,3.085215343162
55.61136762,3.345458535478
55.69399068,3.407178679481
55.77664078,4.264822695404
55.85929796,3.540292615071
55.94193162,3.95310902968
56.02457346,5.010658409446
56.10718966,5.791957490146
56.18980328,6.319119594991
56.27242624,8.343590423465
56.35506808,8.038096129894
56.4376939,8.248247206211
56.52033034,10.39074733853
56.60295794,12.40980345756
56.68557566,14.81001824141
56.76822058,18.21238920093
56.8508399,20.1128423214
56.93346264,22.55241759121
57.01611608,24.28878843784
57.09874228,25.00237897038
57.1813601,27.60329656303
57.26399672,31.26889467239
57.34664004,34.7794033587
57.42924536,38.3380278945
57.51188602,40.20900651813
57.59452708,43.15307363868
57.67715702,46.20236903429
57.75976972,47.56230115891
57.84239992,48.74963313341
57.9250376,52.14153975248
58.00766774,55.94807490706
58.09029816,56.35756254196
58.17292732,59.74197015166
58.25557748,63.44145536423
58.33822134,67.28895008564
58.420836,69.5793107152
58.5034768,75.67299902439
58.5861176,78.77738028765
58.6687379,82.22404122353
58.7513687,83.83512496948
58.8339992,88.89162540436
58.91662524,91.99750423431
58.9992524,94.34471279383
59.08187836,98.24386239052
59.16451194,104.3643951416
59.24714182,107.8780815005
59.32977528,109.6509620547
59.41240566,112.9324808717
59.49506014,116.7252734303
59.57769368,120.7626610994
59.66032208,123.9834651351
59.74297628,127.513512969
59.82560214,130.6858956814
59.90823414,133.4425210953
59.9908724,135.9260380268
60.07351516,137.2468173504
60.1561405,139.9055272341
60.23875726,142.2088742256
60.3213933,144.7889357805
60.40400958,147.8748768568
60.48662944,149.9027013779
60.56926186,151.1617451906
60.65188074,153.332978487
60.7345189,154.293730855
60.81714294,156.5673947334
60.89977058,157.7910035849
60.98240486,160.0881367922
61.06501992,162.2942388058
61.1476488,163.7188643217
61.23029928,164.7346019745
61.31294746,165.0138199329
61.39557818,165.8670455217
61.47820106,166.1164015532
61.56085296,166.9100522995
61.64349824,167.7030622959
61.7261326,167.4573272467
61.80877516,167.024448514
61.89142182,166.4047390223
61.97406752,165.7977253199
62.05669288,165.6411141157
62.1393393,165.7918691635
62.22195522,165.7740920782
62.30458956,165.8397167921
62.38719868,165.0343835354
62.46981544,163.3832901716
62.55245692,162.2138023376
62.6350856,162.0935797691
62.71772456,162.2311621904
62.8003443,162.2592955828
62.88295842,161.819934845
62.9656043,160.6076806784
63.04824084,158.9638590813
63.13088218,157.5278639793
63.21351674,156.5483808517
63.29614934,156.4808487892
63.3787849,155.8665931225
63.46142102,154.9361497164
63.54404676,154.0780514479
63.62668288,152.8365015984
63.70930556,151.1387377977
63.79192256,149.7031450272
63.8745489,148.43519032
63.9571845,147.8758305311
64.03982396,146.6328948736
64.12245784,145.7696557045
64.20511272,145.3500986099
