T_amb,T_MCU
-20.002,-16.184
-19.999,-16.212
-19.997,-16.154
-19.994,-16.135
-19.992,-16.170
-19.991,-16.153
-19.990,-16.160
-19.990,-16.073
-19.990,-16.068
-19.991,-16.043
-19.991,-16.012
-19.992,-15.952
-19.994,-15.904
-19.996,-15.896
-19.998,-15.858
-20.000,-15.874
-20.001,-15.842
-20.001,-15.858
-20.001,-15.870
-20.001,-16.011
-20.001,-16.005
-20.001,-15.963
-20.000,-16.018
-20.000,-15.966
-20.000,-15.939
-20.000,-15.984
-20.000,-16.006
-20.001,-16.144
-20.001,-16.244
-20.002,-16.321
-20.004,-16.265
-20.005,-16.264
-20.006,-16.435
-20.006,-16.419
-20.005,-16.525
-20.002,-16.561
-20.000,-16.538
-19.999,-16.480
-19.998,-16.359
-19.998,-16.300
-19.997,-16.128
-19.996,-16.081
-19.994,-16.072
-19.993,-16.043
-19.993,-16.175
-19.994,-16.160
-19.996,-16.128
-19.998,-16.134
-19.999,-16.240
-20.000,-16.303
-20.003,-16.332
-20.008,-16.531
-20.012,-16.511
-20.016,-16.517
-20.018,-16.468
-20.019,-16.393
-20.019,-16.391
-20.018,-16.407
-20.017,-16.379
-20.016,-16.322
-20.013,-16.320
-20.009,-16.246
-20.004,-16.101
-19.999,-16.126
-19.994,-16.018
-19.991,-15.944
-19.989,-15.992
-19.987,-15.958
-19.986,-15.977
-19.987,-16.009
-19.988,-16.083
-19.983,-16.068
-19.975,-16.111
-19.958,-16.145
-19.921,-16.062
-19.863,-16.130
-19.789,-16.177
-19.700,-16.089
-19.595,-16.009
-19.474,-15.849
-19.338,-15.671
-19.187,-15.430
-19.027,-15.312
-18.857,-15.141
-18.682,-14.979
-18.515,-14.928
-18.355,-14.784
-18.198,-14.579
-18.043,-14.399
-17.892,-14.301
-17.743,-14.216
-17.596,-14.121
-17.451,-14.065
-17.308,-13.850
-17.166,-13.789
-17.025,-13.709
-16.885,-13.547
-16.745,-13.371
-16.602,-13.285
-16.456,-13.132
-16.306,-13.034
-16.152,-12.993
-15.995,-12.878
-15.835,-12.737
-15.673,-12.683
-15.507,-12.493
-15.339,-12.404
-15.168,-12.210
-14.994,-12.128
-14.820,-12.045
-14.646,-12.008
-14.473,-11.856
-14.300,-11.651
-14.128,-11.483
-13.955,-11.210
-13.781,-11.023
-13.607,-10.795
-13.433,-10.615
-13.259,-10.418
-13.084,-10.276
-12.909,-9.924
-12.733,-9.712
-12.557,-9.467
-12.379,-9.281
-12.201,-9.119
-12.022,-9.053
-11.842,-8.918
-11.661,-8.839
-11.479,-8.672
-11.296,-8.557
-11.112,-8.278
-10.928,-8.160
-10.744,-7.974
-10.561,-7.812
-10.380,-7.650
-10.200,-7.482
-10.022,-7.267
-9.845,-7.014
-9.671,-6.862
-9.498,-6.675
-9.327,-6.532
-9.159,-6.478
-8.992,-6.348
-8.826,-6.125
-8.660,-5.946
-8.496,-5.751
-8.332,-5.550
-8.169,-5.402
-8.005,-5.227
-7.842,-5.072
-7.678,-4.923
-7.513,-4.836
-7.348,-4.663
-7.183,-4.503
-7.019,-4.362
-6.854,-4.228
-6.689,-4.153
-6.523,-3.945
-6.357,-3.788
-6.190,-3.820
-6.024,-3.587
-5.857,-3.356
-5.691,-3.147
-5.524,-2.971
-5.357,-2.721
-5.190,-2.540
-5.022,-2.384
-4.855,-2.241
-4.688,-2.151
-4.521,-1.997
-4.355,-1.739
-4.189,-1.528
-4.024,-1.426
-3.859,-1.257
-3.694,-1.009
-3.529,-0.923
-3.364,-0.771
-3.199,-0.662
-3.034,-0.373
-2.869,-0.263
-2.704,-0.102
-2.539,-0.010
-2.373,0.089
-2.207,0.236
-2.040,0.447
-1.873,0.579
-1.706,0.792
-1.539,0.892
-1.371,1.143
-1.203,1.185
-1.035,1.305
-0.866,1.492
-0.699,1.836
-0.534,1.958
-0.372,2.122
-0.209,2.242
-0.047,2.395
0.114,2.493
0.276,2.676
0.437,2.775
0.598,3.001
0.759,3.209
0.919,3.374
1.074,3.573
1.222,3.821
1.363,3.913
1.495,4.023
1.617,4.077
1.731,4.208
1.836,4.284
1.931,4.523
2.018,4.675
2.114,4.743
2.221,4.789
2.345,4.634
2.489,4.661
2.654,4.781
2.838,4.829
3.041,4.811
3.272,4.799
3.526,4.893
3.800,4.858
4.090,4.903
4.376,5.068
4.657,5.143
4.933,5.396
5.202,5.513
5.455,5.654
5.689,5.840
5.905,6.142
6.095,6.399
6.262,6.648
6.411,6.787
6.548,6.925
6.675,7.218
6.790,7.406
6.899,7.546
7.005,7.678
7.115,7.805
7.233,7.945
7.360,8.038
7.493,8.134
7.636,8.108
7.788,8.264
7.946,8.371
8.109,8.338
8.278,8.453
8.447,8.599
8.618,8.786
8.789,9.017
