Time_s,Voltage_mV,CmdDisp_um,CmdStrain_pct
31.06950966,38.79704326391,-11.6076091805517,-0.038692030601839
31.15214908,37.99821808934,-11.7683001158048,-0.0392276670526825
31.2347643,35.06245091558,-11.9289439945727,-0.0397631466485757
31.31741104,32.16732293367,-12.0896491634403,-0.0402988305448009
31.40005506,28.628597036,-12.2503490433144,-0.0408344968110481
31.48266552,27.60731615126,-12.410983666344,-0.0413699455544801
31.56529668,25.28773248196,-12.5716585401687,-0.041905528467229
31.6479135,21.41209691763,-12.7323055301092,-0.0424410184336974
31.73055082,16.86949841678,-12.8929923819483,-0.0429766412731609
31.8131731,11.97189278901,-13.0536499887652,-0.0435121666292173
31.89580156,9.276088327169,-13.2143196124862,-0.0440477320416205
31.97842556,8.092218078673,-13.3749805638136,-0.0445832685460453
32.06104496,5.462281405926,-13.5356325705199,-0.0451187752350663
32.14367446,5.832953378558,-13.696304216503,-0.0456543473883434
32.22630938,1.601034309715,-13.8569864015832,-0.0461899546719441
32.3089389,0.3249295696151,-14.017658086456,-0.0467255269548534
32.39155874,-1.826852094382,-14.1783109487348,-0.0472610364957826
32.4741866,-3.934890963137,-14.338979405766,-0.0477965980192201
32.55680158,-4.470479674637,-14.4996228178581,-0.0483320760595271
32.6394243,-8.095693774521,-14.6602812802475,-0.0488676042674917
32.7220546,-13.39262723923,-14.8209544818169,-0.0494031816060564
32.80468578,-15.00895153731,-14.9816293945312,-0.0499387646484375
32.88730668,-18.38554441929,-15.1422843179618,-0.0504742810598728
32.96993268,-21.22528851032,-15.302949158255,-0.0510098305275166
33.05255552,-23.1383703649,-15.4636078539823,-0.0515453595132743
33.13517978,-25.91407857835,-15.6242693108753,-0.0520808977029176
33.21780128,-31.61911666393,-15.7849254009956,-0.0526164180033186
33.30046872,-38.10006380081,-15.9456708206582,-0.0531522360688606
33.38308516,-45.14990374446,-16.1063170716952,-0.0536877235723175
33.46572594,-52.38470062613,-16.267010651445,-0.0542233688381499
33.54834106,-51.61071568727,-16.4276543357646,-0.0547588477858822
33.63096496,-54.8634044826,-16.5883150926438,-0.055294383642146
33.71362476,-58.02650749683,-16.7490456564574,-0.0558301521881914
33.79625752,-60.02790108323,-16.9097236414546,-0.0563657454715154
33.87887818,-61.19570881128,-17.0703780982093,-0.0569012603273645
33.96150762,-61.73223257065,-17.2310496275235,-0.057436832091745
34.04414884,-64.30135667324,-17.3917440628457,-0.0579724802094856
34.12678352,-65.20058959723,-17.55242578125,-0.0585080859374999
34.20940808,-66.29239022732,-17.7130878214878,-0.0590436260716261
34.29204026,-67.32039898634,-17.873764678685,-0.0595792155956167
34.37466972,-70.436835289,-18.0344362468888,-0.0601147874896294
34.45731416,-70.42682915926,-18.1951369434458,-0.0606504564781526
