Time_s,Voltage_mV
54894.33497932,172.0034778118
55121.61954206,171.9438284636
55235.26179164,172.0988303423
55286.91730656,171.9590574503
55488.37398356,171.9660460949
55565.85740038,172.099635005
55715.6584609,171.9538718462
55855.12850378,172.0214933157
56046.25419802,171.9622015953
56059.16811126,172.018840909
56185.72424498,171.8704998493
56438.83656534,171.922698617
56464.66431096,171.9898581505
56640.29329736,171.9768196344
56766.84940706,172.026053071
56919.23325334,172.1631288528
57045.78932258,172.2049415112
57159.43165148,172.1769571304
57322.14677556,172.2180247307
57386.7161939,172.1944510937
57562.34514052,172.1267104149
57637.24569644,172.1870154142
57763.8017918,172.1697300673
57890.35805994,172.1640825272
58104.72867902,172.2242683172
58169.29817376,172.2235381603
58257.11267332,172.2150295973
58422.41050464,172.2415089607
58623.86717204,172.1361130476
58636.7810811,172.2128093243
58825.32402898,172.127276659
58926.0524481,172.1018105745
59078.43638552,172.1470504999
59179.16477094,172.1106916666
59331.54872144,172.0099002123
59520.09131778,172.2083985806
59584.66072036,172.2542494535
59724.1308227,172.1069514751
59873.93201134,172.1643656492
60013.40206024,172.1803247929
60065.05766728,172.1124649048
60217.44160834,172.1130311489
60318.16997632,172.027811408
60532.54051708,172.0227003098
60607.4411332,172.0131039619
60759.82494686,172.0956861973
60886.3812009,172.0045655966
61077.50679418,172.0191985369
61165.3211765,172.1048951149
61229.89066466,172.1586883068
61457.17502888,172.0874607563
61506.2478276,172.1280068159
61671.54563124,172.1276938915
61808.43281318,172.0887720585
61909.16110874,172.1141934395
62087.37261016,172.0605641603
62213.92875178,172.1737980843
62340.48478422,172.2225695848
62454.12687372,172.2630113363
62616.84195924,172.1279770136
62704.6563564,172.2382009029
62895.78186438,172.2836792469
62908.69575362,172.2250878811
63097.23850522,172.1133589745
63272.86738496,172.2100675106
63337.436793,172.1113324165
63463.99280842,172.1565276384
63564.7211844,172.1895635128
63792.00551196,172.1603870392
63905.6477696,172.3024994135
63931.47551022,172.1303462982
64184.58764678,172.1814125776
64259.48828464,172.283872962
64360.21668304,172.1659451723
64460.94501988,172.1652448177
64701.14329526,172.1168607473
64814.78551348,172.0999926329
64928.42774058,172.1461415291
65018.8249073,172.2483634949
65168.62614548,172.2454875708
65259.0233766,172.3614633083
65385.57944956,172.3786890507
65574.12225584,172.3389476538
65661.93666546,172.3819077015
65775.57892392,172.3217517138
65902.13499558,172.2701787949
66093.26055364,172.1551418304
66219.81663692,172.3489016294
66268.88951956,172.2968220711
66421.27335998,172.2028553486
66560.74331564,172.2270399332
66723.45822152,172.2467243671
66775.1138168,172.0772981644
66950.74256762,172.1220463514
67064.38463672,172.1802204847
67278.7550355,172.1068173647
67405.31114558,172.074124217
67544.78109814,172.0315515995
67671.33701622,172.0099449158
67720.409734,172.1984297037
67810.80688104,172.1720993519
68012.2632792,172.2119748592
68187.8920118,172.1265017986
68265.37538682,172.0923781395
68327.36210566,172.1438169479
68479.745954,172.1840947866
68580.4741961,172.1203178167
68807.75859266,172.1108257771
68895.57303868,172.1183210611
69009.21530562,172.135874629
69099.61257306,172.2141951323
69326.89706154,172.0941364765
69466.36714216,172.1228510141
69489.61218832,171.9765365124
69641.99603354,172.0237284899
69869.28059344,171.987041831
69882.19447306,171.9053834677
70021.66446558,172.0004379749
70199.87606,172.0521003008
70349.67726306,172.0456779003
70489.14736384,171.982049942
70615.70355208,172.1062809229
70680.27309882,171.9477921724
70855.90204516,171.91632092
71021.19999034,171.9670593739
71059.94167614,171.9902306795
71287.2261348,171.9872057438
71400.86849278,171.9707101583
71488.683002,172.040745616
71550.66977264,172.0443367958
71790.86808614,172.0388680696
71904.51028116,171.9305068254
71943.252015,171.9855964184
72183.45038584,172.1192449331
72297.09261616,172.1561402082
72397.82100244,172.1692085266
72472.72159316,172.2082942724
72661.26448996,172.2166091204
72751.66172836,172.1311658621
72901.4627596,172.120988369
73053.8467364,172.1795648336
73141.66120616,172.2105592489
73255.3035245,172.2799092531
73433.5153264,172.2910702229
73596.23040704,172.3820567131
73634.97210156,172.2551882267
73748.61440662,172.1633523703
73900.99842606,172.1475124359
74089.54143956,172.1213757992
74154.1109504,172.1810549498
74381.39536086,172.1998006105
74507.95157646,172.1020340919
74533.7793904,172.2088605165
74722.32224862,172.1974015236
74823.0506657,172.0940023661
75014.17624982,172.1144616604
75076.16296158,172.2151339054
75228.54694344,172.1975505352
75380.93090834,172.2389012575
75430.00375074,172.0585972071
75556.55981668,172.0359623432
75809.67224702,172.0400899649
75835.499999,172.0235198736
76024.04283582,172.0431447029
76163.51284656,172.1277981997
76212.5857126,172.1812784672
76403.71144422,172.0276176929
