Time_s,Sensor_negDegPLA,TempActual_C
20279.574910,104.502844,42.730663
20313.150937,104.273391,42.533953
20382.885787,103.788656,42.116169
20470.700183,103.110797,41.598653
20488.779576,103.002766,41.494349
20524.938415,102.748102,41.280828
20558.514506,102.486281,41.075021
20716.063794,101.302781,40.167452
20734.143202,101.149234,40.062166
20770.302040,100.875547,39.858109
20840.036968,100.364047,39.475545
20909.771846,99.812477,39.089306
20927.851298,99.699844,38.988839
20945.930734,99.570609,38.888372
20997.586305,99.166203,38.601324
21033.745116,98.909906,38.400391
21051.824559,98.772625,38.299924
21103.480004,98.356836,38.012877
21121.559404,98.236609,37.912410
21209.373705,97.591742,37.415325
21297.187968,96.936930,36.929387
21315.267369,96.822000,36.829341
21333.346754,96.686891,36.729295
21351.426168,96.564969,36.629248
21421.161040,96.052141,36.247812
21545.134255,95.152086,35.583336
21632.948692,94.538672,35.132046
21684.604177,94.175086,34.859638
21702.683535,94.071695,34.763838
21720.762942,93.943680,34.668038
21772.418413,93.617531,34.387998
21790.497856,93.486539,34.288969
21808.577294,93.376070,34.189939
21826.656680,93.226359,34.090911
21844.736076,93.110406,33.991882
21860.232735,92.997531,33.907000
21896.391583,92.761727,33.708942
21984.205988,92.177367,33.227943
22020.364746,91.935117,33.032062
22038.444153,91.837953,32.935299
22214.072991,90.698289,31.942683
22250.231848,90.451469,31.743776
22283.807953,90.235609,31.557798
22301.887359,90.126781,31.452347
22319.966771,90.018086,31.346896
22459.436686,89.105391,30.533416
22477.516147,88.981234,30.427965
22495.595573,88.867484,30.322514
22529.171676,88.656312,30.129918
22547.251114,88.539492,30.028091
22565.330564,88.426195,29.926265
22635.065484,87.976633,29.529991
22653.144880,87.874711,29.426353
22689.303732,87.663891,29.217787
22722.879812,87.457008,29.022951
22828.773583,86.828203,28.422518
22864.932438,86.573922,28.222910
22880.429075,86.482508,28.137363
22898.508520,86.362945,28.037559
22934.667398,86.152328,27.838329
23004.402427,85.745133,27.453836
23022.481874,85.637625,27.354072
23074.137401,85.337852,27.069029
23092.216863,85.246844,26.969264
23110.296282,85.141594,26.869500
23161.951776,84.835195,26.586649
23198.110629,84.614820,26.387692
23285.924960,84.145000,25.908902
23355.659974,83.736453,25.533798
23373.739399,83.649086,25.436436
23443.474415,83.276742,25.059521
23461.553863,83.160148,24.960737
23497.712727,82.963125,24.763168
23549.368184,82.701656,24.480926
23567.447610,82.609344,24.382142
23601.023715,82.444148,24.198685
23637.182497,82.241906,23.999410
23655.261942,82.138852,23.898830
23724.996876,81.766312,23.511933
23743.076287,81.672617,23.412412
23761.155742,81.575219,23.312890
23830.890617,81.225734,22.928053
23900.625597,80.858898,22.540179
23918.704949,80.762609,22.439620
23936.784315,80.685937,22.339061
23970.360390,80.501937,22.152307
23988.439784,80.411055,22.051748
24006.519180,80.312875,21.951188
24076.254098,80.002648,21.563315
24145.989060,79.640219,21.175442
